Employee_ID,Age,Gender,Department,Job_Role,Education,Experience_Years,Monthly_Salary,Performance_Rating,Attendance_Percentage,Training_Hours,Promotions_Last_5_Years,Attrition
76,45,Male,Marketing,Team Lead,High School,19,65182,2,95.85,90,1,No
77,27,Male,Marketing,Manager,PhD,21,121023,2,81.98,61,0,No
78,29,Other,Operations,Associate,Diploma,33,59319,4,79.17,57,0,No
79,44,Other,Marketing,Analyst,High School,3,88961,5,81.17,33,3,No
80,21,Other,IT,Senior Manager,High School,30,26112,4,67.28,30,2,No
81,28,Other,Operations,Analyst,High School,13,81028,5,80.49,47,3,No
82,44,Female,Operations,Executive,PhD,7,131702,4,81.67,90,0,No
83,31,Female,Sales,Analyst,Diploma,4,71686,2,90.58,44,2,Yes
84,37,Female,Operations,Manager,PhD,7,60284,4,73.92,28,2,No
85,28,Male,Finance,Executive,PhD,10,121840,3,63.69,28,2,No
86,55,Female,Sales,Senior Manager,Graduate,28,137315,5,83.9,62,2,No
87,55,Male,Sales,Associate,Post Graduate,20,88992,4,91.52,47,0,No
88,53,Other,IT,Associate,PhD,12,44415,5,98.78,11,0,No
89,25,Male,Sales,Executive,Graduate,18,100567,1,63.61,77,2,No
90,59,Male,HR,Analyst,Diploma,2,37772,5,89.85,26,2,No
91,48,Female,Marketing,Team Lead,Graduate,33,56388,4,83.83,46,0,Yes
92,27,Other,Marketing,Team Lead,PhD,18,67314,5,60.61,65,2,No
93,29,Other,Operations,Associate,Diploma,31,95316,3,88.73,36,0,No
94,28,Female,IT,Team Lead,Graduate,13,132598,3,61.05,44,0,Yes
95,32,Other,Marketing,Executive,PhD,6,89181,4,91.41,56,0,No
96,54,Other,HR,Team Lead,Diploma,19,39924,4,88.85,17,1,No
97,53,Other,IT,Manager,Diploma,31,63221,5,87.52,12,3,No
98,43,Female,Finance,Associate,Post Graduate,30,56381,2,64.8,72,3,No
99,44,Other,Marketing,Senior Manager,PhD,21,107874,3,96.76,28,0,No
100,57,Male,Sales,Team Lead,Post Graduate,4,96019,3,95.96,55,3,No
101,55,Male,HR,Manager,Diploma,30,31965,1,96.01,73,2,Yes
102,42,Other,HR,Manager,Diploma,14,30966,1,74.41,19,1,No
103,47,Female,Marketing,Executive,Graduate,16,19258,2,79.69,28,2,Yes
104,55,Female,Operations,Associate,Post Graduate,18,21923,3,64.6,5,3,Yes
105,21,Female,Finance,Executive,High School,9,123862,4,62.04,25,0,No
106,55,Other,Sales,Senior Manager,PhD,33,40605,3,62.35,60,1,No
107,57,Other,Finance,Senior Manager,Post Graduate,24,47868,4,82.75,85,3,No
108,34,Male,Finance,Analyst,Diploma,27,90111,4,72.86,42,3,No
109,23,Female,Marketing,Senior Manager,Graduate,14,61210,2,83.18,46,3,Yes
110,21,Male,Sales,Associate,PhD,19,33130,3,83.71,25,1,No
111,25,Male,Marketing,Associate,PhD,12,111550,5,96.28,80,2,No
112,46,Female,Marketing,Executive,Graduate,19,95163,3,95.29,0,2,No
113,34,Other,Operations,Manager,Diploma,30,39041,3,88.74,94,3,No
114,59,Other,HR,Analyst,High School,17,24480,1,92.74,72,3,No
115,47,Male,Operations,Senior Manager,Graduate,27,69012,2,60.13,25,0,No
116,29,Male,Operations,Manager,High School,3,19170,5,60.62,63,1,No
117,35,Male,Marketing,Executive,Post Graduate,23,47805,5,78.34,61,0,No
118,35,Male,Operations,Team Lead,PhD,8,19806,5,86.15,5,1,No
119,46,Female,Operations,Analyst,Diploma,31,137452,4,91.76,61,3,Yes
120,33,Male,IT,Associate,High School,31,31662,2,77.89,65,1,No
121,52,Male,Sales,Manager,Diploma,20,64605,1,97.61,41,3,No
122,59,Other,HR,Executive,Post Graduate,26,101623,4,92.6,26,3,Yes
123,52,Other,Sales,Executive,High School,7,109577,5,64.11,64,2,No
124,24,Other,HR,Analyst,Diploma,18,122212,4,77.61,29,3,No
125,50,Female,IT,Analyst,Diploma,28,21042,4,99.8,81,3,No
126,57,Female,Marketing,Senior Manager,Post Graduate,18,139255,5,76.4,97,3,Yes
127,43,Other,HR,Senior Manager,Graduate,4,120437,5,75.45,84,2,No
128,59,Other,HR,Associate,Post Graduate,21,74323,1,71.76,64,1,No
129,35,Male,HR,Associate,High School,34,94297,2,79.46,46,1,No
130,49,Male,IT,Analyst,High School,9,28883,3,89.19,31,1,Yes
131,56,Female,Sales,Analyst,PhD,14,32941,3,61.9,33,3,No
132,33,Female,IT,Manager,Diploma,1,116428,3,93.43,46,0,No
133,52,Male,HR,Senior Manager,High School,21,79048,1,96.7,13,1,No
134,27,Other,Operations,Executive,Graduate,34,89225,4,91.24,4,2,No
135,42,Male,HR,Senior Manager,Graduate,18,54550,5,96.63,35,1,Yes
136,48,Female,Operations,Senior Manager,Post Graduate,11,87682,2,63.8,95,3,No
137,22,Female,Marketing,Analyst,High School,33,22914,3,78.0,8,2,Yes
138,26,Male,IT,Analyst,High School,19,77953,2,62.84,34,3,No
139,48,Male,Operations,Senior Manager,PhD,6,80129,2,93.47,24,0,No
140,48,Male,IT,Team Lead,PhD,23,30391,5,98.1,74,0,No
141,40,Female,Finance,Team Lead,PhD,2,105006,1,71.91,45,0,No
142,50,Other,Sales,Associate,High School,5,133051,5,81.42,12,0,No
143,31,Male,Finance,Senior Manager,Post Graduate,32,116690,1,71.91,60,1,No
144,48,Female,Operations,Team Lead,Post Graduate,33,44285,4,75.15,29,2,No
145,45,Female,Finance,Associate,Post Graduate,32,109837,2,79.06,97,3,No
146,59,Female,Sales,Associate,Post Graduate,28,140596,3,91.63,31,3,No
147,53,Male,Operations,Senior Manager,Graduate,22,51106,2,65.88,29,3,No
148,21,Male,Marketing,Associate,High School,3,137865,5,66.28,81,2,Yes
149,47,Other,Marketing,Analyst,Diploma,4,136946,1,68.07,55,0,No
150,33,Female,Sales,Analyst,High School,33,81405,4,62.13,66,2,Yes
151,23,Male,Sales,Analyst,Post Graduate,15,131147,4,85.74,70,0,No
152,59,Female,Operations,Executive,Graduate,2,112768,1,67.59,54,2,No
153,26,Female,IT,Analyst,Graduate,13,101029,1,77.5,97,0,No
154,28,Other,Operations,Analyst,High School,32,22042,1,87.42,7,2,No
155,47,Male,IT,Senior Manager,Diploma,27,119733,4,77.96,42,1,No
156,29,Male,IT,Team Lead,Post Graduate,14,81221,2,96.24,47,1,No
157,57,Female,IT,Team Lead,Graduate,3,127301,2,90.77,57,1,No
158,53,Female,Operations,Analyst,Post Graduate,19,66126,4,70.92,31,1,No
159,44,Other,HR,Analyst,Post Graduate,24,71746,3,65.22,77,0,No
160,35,Other,HR,Analyst,Post Graduate,34,138891,5,95.78,68,2,No
161,52,Other,Marketing,Associate,PhD,21,90112,4,75.88,6,2,No
162,52,Other,HR,Senior Manager,Post Graduate,34,101058,3,75.3,73,3,Yes
163,44,Other,HR,Senior Manager,Post Graduate,27,118419,5,92.4,19,3,No
164,32,Other,IT,Senior Manager,Diploma,9,31950,2,60.37,61,1,No
165,59,Female,IT,Team Lead,Diploma,15,43493,1,78.04,20,3,No
166,22,Other,Sales,Executive,PhD,22,137583,5,88.57,91,1,No
167,23,Female,IT,Team Lead,PhD,18,92930,1,93.95,28,3,No
168,57,Female,Operations,Senior Manager,Post Graduate,0,75914,3,95.41,69,1,No
169,37,Male,Sales,Manager,Graduate,0,144659,4,78.63,37,2,No
170,22,Female,Sales,Executive,Graduate,25,19348,4,93.91,41,0,Yes
171,22,Female,HR,Analyst,High School,33,18926,1,61.43,2,1,No
172,48,Other,IT,Associate,Graduate,1,108252,5,72.22,36,3,No
173,43,Female,HR,Team Lead,Graduate,27,128116,5,60.42,16,3,Yes
174,57,Other,IT,Associate,Diploma,19,84546,3,66.62,32,3,No
175,52,Other,HR,Executive,High School,26,16400,4,88.99,9,1,Yes
176,53,Other,HR,Manager,High School,27,120011,1,60.18,36,2,No
177,21,Male,HR,Executive,Diploma,30,106680,2,80.92,32,0,Yes
178,39,Other,Operations,Team Lead,Graduate,6,110763,4,76.56,27,3,No
179,22,Female,Marketing,Senior Manager,Graduate,7,146023,4,64.91,86,3,No
180,46,Other,HR,Analyst,High School,31,21255,3,87.43,41,1,No
181,52,Other,Finance,Senior Manager,Graduate,10,143183,4,87.72,57,0,No
182,26,Other,Finance,Senior Manager,High School,25,52156,3,89.05,47,1,No
183,52,Male,Finance,Team Lead,Graduate,24,56915,3,90.61,50,2,No
184,24,Female,Operations,Senior Manager,Post Graduate,6,107520,2,72.6,9,0,No
185,31,Male,Sales,Senior Manager,Diploma,19,75722,5,99.77,7,2,Yes
186,37,Female,HR,Team Lead,PhD,29,49588,4,62.92,15,1,Yes
187,58,Male,Finance,Team Lead,Post Graduate,0,39290,3,85.91,95,2,No
188,44,Female,Operations,Manager,Graduate,17,142061,3,98.83,61,1,Yes
189,25,Male,Sales,Senior Manager,PhD,7,46699,5,68.97,48,3,No
190,54,Other,Finance,Executive,Post Graduate,28,134079,5,71.12,88,3,No
191,26,Male,IT,Analyst,Diploma,21,129115,3,83.04,14,3,Yes
192,42,Male,Marketing,Associate,PhD,31,32763,4,91.25,15,1,No
193,31,Other,HR,Analyst,PhD,13,72622,4,73.16,80,1,No
194,36,Other,Marketing,Team Lead,Diploma,1,104958,4,93.47,26,1,No
195,53,Female,Marketing,Associate,Post Graduate,34,40607,5,69.64,46,2,No
196,29,Female,IT,Team Lead,PhD,6,44257,4,94.97,25,3,No
197,26,Female,IT,Manager,Diploma,2,37903,4,70.12,71,1,Yes
198,36,Male,IT,Senior Manager,Post Graduate,14,146663,4,84.7,40,3,No
199,49,Female,Sales,Team Lead,Graduate,33,39422,5,74.31,10,3,Yes
200,23,Male,Finance,Team Lead,High School,21,78215,1,72.87,90,1,No
201,40,Male,HR,Analyst,Graduate,17,70315,1,74.16,8,1,No
202,56,Female,IT,Senior Manager,Graduate,17,100874,4,79.97,53,2,No
203,39,Female,Operations,Manager,High School,33,105123,1,93.8,10,2,No
204,46,Male,HR,Team Lead,Graduate,17,62048,4,90.37,6,3,No
205,23,Other,HR,Team Lead,Graduate,28,113425,5,77.97,27,1,No
206,39,Other,HR,Team Lead,Diploma,11,129503,4,71.29,93,1,Yes
207,40,Male,IT,Analyst,Diploma,17,42220,2,94.17,61,1,No
208,52,Female,IT,Team Lead,Post Graduate,30,114181,3,94.81,54,3,No
209,27,Male,Finance,Team Lead,PhD,14,114089,5,78.15,35,1,No
210,53,Male,IT,Analyst,Post Graduate,29,98996,2,87.83,72,2,No
211,59,Female,IT,Team Lead,Diploma,27,62238,2,74.77,98,0,No
212,38,Other,HR,Senior Manager,Diploma,14,146172,3,65.96,62,0,No
213,21,Male,Finance,Senior Manager,High School,32,89373,2,72.86,50,2,No
214,31,Other,Marketing,Analyst,High School,1,80427,3,87.28,76,0,No
215,48,Other,IT,Senior Manager,Diploma,7,149454,4,90.78,47,2,Yes
216,45,Female,Operations,Associate,Graduate,32,75855,5,94.07,67,3,Yes
217,43,Male,IT,Associate,Post Graduate,34,70495,5,60.71,9,0,No
218,51,Male,Marketing,Associate,Diploma,17,68968,5,79.46,25,3,No
219,50,Other,HR,Manager,Diploma,25,94447,3,70.96,66,3,No
220,55,Other,Finance,Team Lead,High School,20,107064,3,87.36,52,2,No
221,27,Female,HR,Manager,Post Graduate,27,33481,2,69.81,42,3,No
222,36,Other,Sales,Senior Manager,Post Graduate,19,108743,5,82.65,16,0,No
223,46,Female,IT,Analyst,PhD,19,121380,2,88.48,26,0,Yes
224,22,Male,Operations,Associate,Diploma,3,79641,4,90.8,21,2,No
225,21,Female,Sales,Analyst,PhD,33,115653,2,70.78,35,3,Yes
226,32,Other,IT,Manager,High School,12,45446,5,63.51,71,1,No
227,25,Male,Sales,Senior Manager,PhD,30,17585,3,68.75,32,3,Yes
228,57,Female,Marketing,Team Lead,Graduate,6,148168,2,83.97,89,0,Yes
229,52,Male,IT,Senior Manager,Diploma,16,141384,2,61.62,94,0,No
230,29,Female,Operations,Associate,Diploma,11,130279,3,66.35,52,0,No
231,55,Other,IT,Senior Manager,Post Graduate,29,65612,3,99.82,10,3,No
232,39,Other,Sales,Analyst,PhD,33,149198,5,75.29,92,1,No
233,36,Male,Finance,Executive,Post Graduate,21,54680,4,79.86,28,0,No
234,23,Male,Sales,Associate,PhD,20,47606,5,60.44,37,3,No
235,40,Male,IT,Team Lead,PhD,8,38428,2,83.68,57,2,No
236,44,Female,IT,Associate,High School,11,16270,5,73.01,14,3,No
237,53,Other,Finance,Associate,PhD,16,48049,5,81.21,53,0,No
238,44,Male,HR,Team Lead,Post Graduate,15,93080,3,81.04,61,0,No
239,31,Male,Finance,Associate,PhD,4,102132,4,98.7,56,0,No
240,28,Male,HR,Analyst,PhD,18,147901,4,70.73,78,0,Yes
241,56,Female,Operations,Senior Manager,Diploma,27,138432,5,82.82,70,0,No
242,58,Male,IT,Analyst,Diploma,16,96874,3,75.26,57,3,Yes
243,40,Male,Marketing,Senior Manager,Diploma,21,51507,3,76.88,48,3,No
244,55,Female,Marketing,Executive,Graduate,34,37000,2,62.22,52,1,No
245,45,Female,Sales,Associate,Diploma,14,127725,1,87.54,28,3,No
246,55,Male,Finance,Executive,Graduate,18,55531,2,67.81,32,0,No
247,45,Male,Finance,Manager,Graduate,25,141347,2,78.74,45,3,No
248,49,Female,Marketing,Senior Manager,Post Graduate,34,116111,2,77.37,53,3,No
249,38,Other,HR,Analyst,Diploma,22,17919,1,78.73,79,1,Yes
250,38,Female,Finance,Analyst,PhD,9,103796,3,75.02,97,0,No
251,22,Other,HR,Associate,High School,21,34959,3,69.7,84,1,No
252,55,Male,HR,Analyst,PhD,10,66980,4,77.95,6,0,No
253,36,Male,HR,Manager,Diploma,25,33958,4,61.85,28,0,No
254,56,Other,HR,Team Lead,PhD,0,30150,5,69.69,8,2,No
255,53,Female,Sales,Analyst,Diploma,20,149496,5,91.39,48,3,No
256,24,Male,Sales,Associate,Diploma,7,65250,5,93.71,70,0,Yes
257,53,Other,Marketing,Executive,PhD,19,91531,4,88.61,77,2,No
258,34,Female,Sales,Analyst,Graduate,16,28582,4,85.3,93,1,No
259,41,Other,Operations,Analyst,Post Graduate,14,59067,2,92.45,87,3,No
260,40,Female,Finance,Analyst,Post Graduate,20,139971,3,65.11,50,0,No
261,28,Female,Operations,Associate,Post Graduate,0,83224,4,81.01,97,2,Yes
262,27,Female,Sales,Team Lead,Post Graduate,2,22098,1,64.65,7,1,No
263,23,Female,Finance,Analyst,High School,30,123064,2,91.11,54,1,No
264,37,Other,Finance,Team Lead,Diploma,30,24062,1,80.82,64,2,No
265,53,Other,HR,Team Lead,High School,20,81045,1,92.4,97,3,No
266,32,Other,Marketing,Manager,Post Graduate,22,107568,3,91.96,83,0,No
267,42,Other,HR,Executive,Post Graduate,16,109503,1,78.65,94,2,Yes
268,42,Other,HR,Analyst,PhD,21,71249,1,79.87,78,2,No
269,50,Female,Operations,Analyst,Post Graduate,21,115554,1,61.13,14,1,No
270,58,Male,Sales,Analyst,Diploma,7,52439,1,80.94,50,2,No
271,58,Male,Operations,Team Lead,Post Graduate,7,15984,2,87.1,33,3,No
272,28,Other,Sales,Senior Manager,Post Graduate,13,48563,2,69.35,68,1,No
273,47,Other,Operations,Executive,High School,23,127350,3,99.46,85,2,No
274,47,Male,Finance,Associate,Diploma,21,131079,3,98.99,11,2,No
275,54,Female,Sales,Analyst,Graduate,14,120897,1,71.31,44,3,No
276,41,Other,Sales,Senior Manager,PhD,19,145257,5,88.52,30,0,No
277,50,Female,Operations,Senior Manager,Graduate,26,34377,1,61.2,53,0,Yes
278,53,Male,IT,Senior Manager,High School,27,27591,1,86.63,92,0,No
279,48,Male,Finance,Executive,Post Graduate,21,41808,3,84.96,21,1,No
280,53,Other,Finance,Senior Manager,PhD,30,107424,4,92.89,71,0,No
281,25,Female,IT,Associate,Diploma,8,24629,3,72.17,63,0,Yes
282,39,Other,Operations,Analyst,PhD,22,72745,2,95.12,59,1,Yes
283,24,Male,Operations,Associate,High School,4,127343,3,94.32,27,2,No
284,55,Female,Finance,Analyst,Post Graduate,16,130565,4,86.78,20,1,No
285,37,Other,Operations,Manager,High School,4,34538,1,78.89,74,0,No
286,48,Other,Marketing,Team Lead,Diploma,6,77785,4,84.74,74,1,No
287,50,Other,Marketing,Senior Manager,Graduate,7,40482,3,89.2,86,1,No
288,49,Male,IT,Associate,Post Graduate,6,16095,5,99.01,76,0,No
289,26,Other,Sales,Team Lead,Post Graduate,21,59482,2,64.87,42,2,No
290,55,Female,Marketing,Team Lead,High School,20,49574,4,72.52,26,0,No
291,57,Other,Operations,Team Lead,High School,3,135684,3,91.23,22,1,No
292,44,Male,IT,Team Lead,High School,31,62911,1,76.37,96,0,Yes
293,49,Other,Marketing,Team Lead,Post Graduate,28,65828,3,86.9,89,2,No
294,51,Male,HR,Analyst,High School,29,88935,1,65.32,35,3,No
295,55,Male,IT,Executive,PhD,2,90093,5,88.37,96,1,No
296,53,Female,Finance,Senior Manager,PhD,4,77496,2,86.96,37,2,No
297,41,Female,Marketing,Senior Manager,PhD,18,20501,4,83.43,15,0,Yes
298,52,Other,Finance,Analyst,Post Graduate,7,139289,3,90.61,73,0,No
299,43,Male,IT,Associate,High School,30,58885,3,95.2,42,3,No
300,53,Male,Marketing,Analyst,Diploma,26,60217,4,93.17,40,1,No
301,23,Female,Finance,Team Lead,High School,12,25255,1,65.1,43,0,Yes
302,38,Female,Sales,Executive,Post Graduate,5,140670,2,89.78,51,2,No
303,45,Other,Sales,Senior Manager,PhD,0,39821,5,77.99,16,1,No
304,51,Male,HR,Associate,Post Graduate,29,145865,4,73.36,51,3,Yes
305,23,Female,Operations,Manager,High School,10,104988,2,95.19,42,2,No
306,44,Other,IT,Analyst,Post Graduate,30,66754,3,82.38,22,3,Yes
307,52,Male,Operations,Manager,Diploma,15,96297,2,80.05,0,2,No
308,42,Male,Operations,Senior Manager,Post Graduate,14,29015,5,91.38,92,1,Yes
309,43,Female,Finance,Analyst,Graduate,4,100401,2,82.13,24,2,No
310,22,Other,HR,Senior Manager,Post Graduate,14,103205,3,94.32,5,1,No
311,47,Female,IT,Analyst,High School,0,148569,5,64.12,73,1,No
312,22,Other,Sales,Associate,Graduate,14,20850,5,91.05,53,2,No
313,46,Male,Operations,Senior Manager,PhD,7,82323,5,66.55,77,2,No
314,37,Other,Finance,Manager,High School,21,142948,3,69.01,22,1,Yes
315,53,Other,Operations,Executive,Diploma,26,65964,1,67.18,18,0,No
316,29,Other,Marketing,Associate,Post Graduate,33,132611,3,69.54,55,0,No
317,59,Other,Sales,Associate,Post Graduate,29,115865,1,89.27,52,2,No
318,49,Other,Operations,Analyst,High School,11,114219,1,86.21,30,0,No
319,46,Female,Marketing,Manager,Post Graduate,1,106004,3,69.19,37,0,No
320,55,Other,Marketing,Senior Manager,Post Graduate,21,37755,2,70.81,18,1,No
321,45,Other,Finance,Manager,PhD,16,22313,3,63.97,0,1,Yes
322,44,Male,Finance,Associate,Post Graduate,34,142192,5,76.58,76,0,No
323,33,Other,Marketing,Analyst,Post Graduate,22,91524,2,75.14,49,3,No
324,27,Male,HR,Manager,PhD,28,43965,4,65.83,97,2,No
325,56,Female,Operations,Senior Manager,Post Graduate,28,34199,4,93.39,57,3,No
326,40,Female,Marketing,Team Lead,PhD,18,117897,4,94.1,80,3,Yes
327,21,Other,Marketing,Associate,Diploma,16,147048,5,64.36,31,3,No
328,28,Female,Finance,Executive,Post Graduate,7,32133,5,70.65,48,0,No
329,36,Other,Operations,Executive,High School,6,36183,1,89.44,97,1,No
330,34,Female,IT,Associate,Graduate,10,120759,5,94.8,96,0,No
331,32,Other,Sales,Team Lead,Diploma,2,34399,1,62.87,91,3,No
332,43,Other,Finance,Analyst,Post Graduate,1,56228,4,96.09,43,0,No
333,35,Male,Operations,Manager,High School,18,123631,3,62.47,28,2,No
334,48,Male,Operations,Manager,Graduate,27,138642,3,85.35,87,3,Yes
335,54,Male,HR,Team Lead,PhD,27,114709,5,60.88,47,0,No
336,22,Male,Sales,Team Lead,Post Graduate,24,130126,4,97.13,79,1,No
337,52,Other,Finance,Senior Manager,PhD,10,30369,4,74.15,76,3,No
338,43,Female,Finance,Senior Manager,Diploma,1,31698,1,85.95,25,1,No
339,42,Other,IT,Executive,Graduate,11,69148,1,67.38,6,2,Yes
340,45,Male,HR,Analyst,Graduate,11,130279,4,72.85,43,2,Yes
341,42,Male,HR,Analyst,PhD,24,80115,5,89.89,13,0,No
342,42,Female,Operations,Team Lead,PhD,30,129337,5,98.92,51,0,Yes
343,26,Male,Operations,Executive,Diploma,16,137715,4,99.68,31,2,No
344,35,Other,Finance,Executive,High School,11,47509,3,92.39,74,3,Yes
345,57,Other,IT,Senior Manager,Post Graduate,29,142265,3,93.89,31,3,No
346,53,Other,Finance,Manager,High School,1,144886,1,98.78,74,3,No
347,28,Other,Marketing,Analyst,Graduate,15,40829,4,61.61,83,2,No
348,25,Other,Operations,Executive,Post Graduate,0,75641,3,66.81,56,1,No
349,59,Female,Marketing,Senior Manager,Diploma,33,69738,5,62.11,51,1,No
350,24,Other,IT,Senior Manager,High School,0,23981,2,80.05,33,3,No
351,26,Male,Finance,Senior Manager,High School,2,140084,2,98.34,60,0,No
352,52,Male,Operations,Manager,Post Graduate,33,125945,4,83.3,61,0,No
353,50,Male,IT,Executive,Diploma,11,50348,1,82.22,85,2,No
354,55,Male,Finance,Team Lead,Diploma,26,48172,2,93.07,86,0,Yes
355,36,Female,Finance,Team Lead,High School,24,107859,5,97.16,92,2,No
356,33,Male,Marketing,Senior Manager,High School,11,23144,5,87.94,75,2,No
357,50,Female,Sales,Senior Manager,PhD,32,34228,5,95.82,30,0,No
358,39,Male,HR,Manager,Post Graduate,8,82872,2,67.01,28,0,No
359,37,Female,Operations,Senior Manager,Diploma,0,29013,3,80.14,30,3,No
360,39,Female,HR,Associate,Graduate,22,136416,5,74.58,11,3,No
